SCC: ,NOX (s),PM25-PRI (s),SO2 (s),VOC (s),deaths
2310022420,0,0,0,602.2097058003001,0.0005979668356985114
2310021603,51129.68808040226,18.1437,2.0814489803922141e+06,6.575633208970485e+07,43.98776141344777
2310000660,8.042601894043339e+06,303442.27038458484,13792.83525452445,507576.35503643146,11.961515493677535
2310023202,2.890542468277795e+06,34082.80437225001,2006.6558779974375,369933.666314943,5.063779793671396
2310021605,,,,928558.2786,0.18093965052980474
2310000220,6.865999706804162e+07,1.7859423967663327e+06,517913.3061707068,3.8713319910884616e+06,118.73015830602202
2310021509,25.491898499999998,0,0,289657.09445699997,0.27960599132345476
2310023513,,,,357660.80975300015,0.26199535092080445
2310011100,1.028500941713778e+07,768691.7665637693,20518.14670684572,552152.0660686481,21.046005143029106
2310021601,,,,4.6522378559738986e+07,13.76205219006113
2310023600,18178.584347678996,,150780.6968757,393078.23478161934,1.1202185584679405
2310000330,7.026603344685173e+07,729361.4956653655,25198.221544136115,2.188867242866581e+06,124.41330709700355
2310023515,,,,3.1643054286660487e+06,2.2924287874788982
2310021201,22928.080201156503,17.049043522043988,2.34144469159324,572.8608352050555,0.047002589199692725
2310021300,0,0,0,1.7537872554244202e+08,87.29485879361206
2310023310,0,0,0,6.070152823735385e+06,3.30561165864029
2310020600,1.2241713099275555e+07,184759.92411714848,3429.5390035241458,4.484379445690416e+06,19.844057726185888
2310010700,,,,2.00244228716775e+07,5.979262125347813
2310021102,7.506453308769742e+06,200436.8698193477,3226.0661949414653,1.1413031637375057e+06,9.339729834707551
2310023010,156.688647562515,,0,138651.5106835695,0.06002862410831299
2310021103,10010.275291284554,887.9300997619955,12.783683424283513,4825.173156188177,0.03412003448361045
2310021700,4.924174796963701e+06,19700.477495445764,3728.2581945000006,433457.35655985004,6.49173973440069
2310021203,2.508737409836597e+06,21517.539666478675,4388.2690641407125,1.065508113996914e+06,5.9386065057701725
2310002301,17.5390430538,0,0,1.5480587944225497,3.05533609018123e-05
2310011501,0,0,0,1.211160861567533e+07,6.734554642744105
2310023400,2.6103846250144118e+06,198137.37776905502,15622.99958632733,4.900491674198535e+06,9.182875266952198
2310021101,113418.12293697835,5260.5579448462595,84.21855342058535,23451.16087249059,0.18322686286292858
2310030000,,,,1.297481247384888e+06,0.5236506811041319
